confidence,growth_mindset,interest,nature,persistence,real_world,sense
NA,0.5559329710144928,0.6503623188405797,0.47599637681159424,0.6682518115942029,0.49343297101449274,0.5903532608695652
0.6287593984962406,NA,0.6456766917293233,0.5963345864661654,0.5404135338345865,0.6463815789473685,0.6139567669172932
0.8321314102564102,0.5228365384615385,NA,0.5709134615384616,0.5849358974358975,0.6698717948717949,0.702724358974359
0.6053276178812003,0.6169626454378444,0.5979791794243723,NA,0.6132884262094305,0.6604409063074097,0.6429883649724433
0.6839945280437757,0.5013679890560875,0.5738714090287278,0.6251709986320109,NA,0.4778841769265846,0.5875512995896033
0.5038402457757296,0.634920634920635,0.6740911418330774,0.5780849974398362,0.5033282130056324,NA,0.6833077316948284
0.6291061879297173,0.6172650878533231,0.5832696715049656,0.5840336134453781,0.6348357524828113,0.6760886172650878,NA
